Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,
BT1,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,
"C100, C101, C17, C18, C19, C20, C21, C22, C23, C24, C25, C58, C60, C70, C71, C78, C79, C84, C88, C89, C92, C93",0402,22,100nF/50V,
"C102, C111, C112, C113, C99",1210,5,22uF,
C103,0805,1,4.7uF,
C104,0805,1,1nF,
C105,0603,1,150nF,
C106,1210,1,10uF,
C107,0402,1,22nF,
"C108, C109, C110",1206,3,4.7uF,
"C55, C56",0402,2,220nF/50V,
"C57, C59",0402,2,10uF/10V,
"C64, C65, C67, C68, C74, C75, C76, C77, C80, C81, C82, C83, C86, C94, C96",0603,15,22uF/10V,
"C66, C69",0402,2,1uF/16V,
"C72, C73",0402,2,12pF/50V,
"D1, D2, D21, D25, D3, D78, D79, D80, D81, D82, D83",0402,11,ESD5V0B03,
"D15, D16, D17",D_SMA,3,SS54,
D22,0603,1,LED_G,
D24,D_SOD-323,1,3V3 Izt=5mA,
"D26, D4",D_SOD-323,2,1N5819WS,
F1,0603,1,6V/50mA,
F2,0805,1,6V/1A,
"F6, F79",0805,2,6V/2A,
F81,1206,1,32V/6A,
F82,1206,1,Fuse,
"H5, H6",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_Pad,
H7,MountingHole_2.7mm_M2_Pad_TopOnly,1,MountingHole_M2.0,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J16,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,1,Bus_M.2_Socket_E,
J3,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,
J78,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,C394556
J80,484050003_MOL,1,0483930003,
J81,AMPHENOL_GSB3CA11310DSHR,1,DX07S024JJ3R1300,
J82,OST_USB-A1HSW6,1,USB-A1HSW6,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,
"L1, L2",L_Sunlord_SWPA4020S,2,2.2uH/4.3A,
L78,XAL6030561MEB,1,560nF,
M1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Fan_4pin,
"Q1, Q8",SOT-23,2,2N7002,
"Q2, Q3, Q4",SOT-23,3,2SK3018,
Q78,SOIC127P600X175-8N,1,SI4427BDY-T1-E3,
"R1, R11, R47",0402,3,1K/1%,
"R10, R13, R14, R16, R17, R7, R8, R9",0402,8,470R/1%,
R101,0402,1,900k,
"R15, R18, R19, R3, R5, R52, R53",0402,7,2.2K/1%,
"R2, R34, R35, R49, R50, R56, R58, R78, R79",0402,9,10K/1%,
"R32, R33",0402,2,0R/1%,
R4,0402,1,1M/1%,
"R46, R48, R55, R69",0402,4,100R/1%,
"R51, R76, R77",0402,3,100K/1%,
R57,0402,1,75K/1%,
"R59, R6, R66, R68",0402,4,21.5K/1%,
"R60, R64, R72",0402,3,4.7K/1%,
R81,0402,1,140k,
R84,0603,1,56.2k,
R85,0603,1,28.7k,
R86,0402,1,178k,
R87,0402,1,732k,
R88,0402,1,80.6k,
"SW1, SW2",SW_Push_6x6x6,2,SW_Push,
TP16,TestPoint_Pad_D1.5mm,1,TestPoint,
"U1, U2",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,TPAZ1023-04F,
"U15, U16",TSOT-23-6,2,SY8253ADC,
"U78, U80, U90",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,ULC0524P,
U79,RNW0013A,1,TPS61178RNWR,
U86,QFN40P450X250X80-31N120X320,1,HD3SS3220IRNHT,
