Designator,Mid X,Mid Y,Rotation,Layer
A1,-129.6,52.5,180.0,top
BT1,-164.23,38.82,90.0,top
C100,-160.8,94.57,180.0,top
C101,-160.81,95.51,180.0,top
C102,-98.95,103.79,270.0,top
C103,-101.04,94.3,0.0,top
C104,-114.19,96.54,90.0,top
C105,-103.45,97.13,270.0,top
C106,-108.34,89.97,180.0,top
C107,-104.925,92.0,90.0,top
C108,-91.3,82.67,90.0,top
C109,-97.46,82.75,90.0,top
C110,-94.73,82.71,270.0,top
C111,-101.54,82.74,270.0,top
C112,-93.4,74.44,180.0,top
C113,-93.4,78.69,180.0,top
C17,-100.11,42.88,270.0,top
C18,-101.11,42.88,270.0,top
C19,-102.83,42.85,270.0,top
C20,-103.83,42.85,270.0,top
C21,-105.44,42.89,270.0,top
C22,-106.44,42.89,270.0,top
C23,-108.130001,42.893026,270.0,top
C24,-109.110001,42.893026,270.0,top
C25,-115.45,35.51,0.0,top
C55,-136.69,99.23,90.0,top
C56,-135.68,99.24,90.0,top
C57,-142.68,99.32,90.0,top
C58,-141.65,99.25,90.0,top
C59,-124.62,99.07,90.0,top
C60,-123.65,99.07,90.0,top
C64,-91.33,37.925,0.0,top
C65,-113.2,73.8,0.0,top
C66,-169.17,62.15,270.0,top
C67,-91.33,39.525,0.0,top
C68,-113.2,72.2,0.0,top
C69,-173.75,46.6,270.0,top
C70,-93.93,33.525,0.0,top
C71,-115.2,67.7,0.0,top
C72,-87.9,33.35,180.0,top
C73,-112.2,66.4,90.0,top
C74,-94.33,41.125,180.0,top
C75,-116.2,75.4,180.0,top
C76,-94.33,42.725,180.0,top
C77,-116.2,78.6,180.0,top
C78,-93.93,45.525,0.0,top
C79,-115.6,79.8,0.0,top
C80,-94.33,44.325,180.0,top
C81,-116.2,73.8,180.0,top
C82,-94.33,39.525,180.0,top
C83,-116.2,77.0,180.0,top
C84,-163.18,86.35,0.0,top
C86,-159.68,103.26,90.0,top
C88,-160.637314,99.6449,0.0,top
C89,-160.637314,98.6949,0.0,top
C92,-147.58,42.01,270.0,top
C93,-148.66,42.05,270.0,top
C94,-150.9,41.14,270.0,top
C96,-130.28,44.13,0.0,top
C99,-102.69,103.68,270.0,top
D1,-112.66,41.74,90.0,top
D15,-106.82,76.5225,90.0,top
D16,-102.27,76.5225,90.0,top
D17,-97.72,76.5225,90.0,top
D2,-115.66,41.74,270.0,top
D21,-170.17,62.15,90.0,top
D22,-173.65,76.6175,90.0,top
D24,-103.77,61.53,270.0,top
D25,-172.75,46.6,90.0,top
D26,-163.18,84.15,270.0,top
D3,-111.59,35.89,90.0,top
D4,-116.24,38.67,180.0,top
D78,-162.925,92.093,0.0,top
D79,-161.04,92.1,180.0,top
D80,-140.23,39.09,0.0,top
D81,-138.33,39.1,180.0,top
D82,-128.28,37.82,0.0,top
D83,-126.37,37.82,180.0,top
F1,-116.24,36.87,180.0,top
F2,-131.64,41.5,270.0,top
F6,-162.18,104.11,180.0,top
F79,-151.05,37.98,270.0,top
F81,-94.89,97.6,90.0,top
F82,-110.22,79.57,90.0,top
FID1,-167.68,105.94,0.0,top
FID2,-93.32,28.84,0.0,top
H5,-97.84,109.49,180.0,top
H6,-161.37,109.47,180.0,top
H7,-133.1,76.65,90.0,top
J1,-173.0,83.0,0.0,top
J16,-133.11,106.425,0.0,top
J3,-107.2,29.8,270.0,top
J78,-89.54,94.18,270.0,top
J80,-146.04,32.71345,0.0,top
J81,-169.9375,97.53425,270.0,top
J82,-127.3025,32.812,0.0,top
JP1,-160.04,24.98,90.0,top
L1,-95.13,36.325,90.0,top
L2,-117.0,70.6,90.0,top
L78,-108.73,102.56,180.0,top
M1,-167.35,83.7,270.0,top
Q1,-116.42,44.9,90.0,top
Q2,-113.02,44.9,90.0,top
Q3,-112.5,38.81,90.0,top
Q4,-120.0,44.81,90.0,top
Q78,-106.17,83.78,270.0,top
Q8,-163.0,69.8,90.0,top
R1,-154.3,42.6,180.0,top
R10,-105.07,40.46,90.0,top
R101,-159.28,105.68,0.0,top
R11,-116.66,41.74,270.0,top
R13,-104.07,40.46,90.0,top
R14,-102.59,40.45,90.0,top
R15,-113.66,41.74,90.0,top
R16,-101.4,40.48,90.0,top
R17,-99.88,40.47,90.0,top
R18,-112.79,35.89,90.0,top
R19,-121.02,41.9,90.0,top
R2,-130.730001,62.043026,90.0,top
R3,-113.99,35.89,90.0,top
R32,-131.11,99.08,270.0,top
R33,-130.09,99.08,270.0,top
R34,-128.12,99.09,270.0,top
R35,-129.11,99.08,90.0,top
R4,-118.66,41.74,90.0,top
R46,-156.88,30.29,90.0,top
R47,-161.83,72.79,90.0,top
R48,-171.17,62.15,270.0,top
R49,-162.8,72.8,270.0,top
R5,-114.66,41.74,90.0,top
R50,-172.17,62.15,270.0,top
R51,-157.88,30.29,90.0,top
R52,-163.81,72.79,90.0,top
R53,-102.2,60.92,90.0,top
R55,-171.75,46.6,270.0,top
R56,-170.75,46.6,270.0,top
R57,-87.9,34.325,0.0,top
R58,-87.9,32.39,180.0,top
R59,-111.2,66.4,270.0,top
R6,-117.66,41.74,270.0,top
R60,-113.2,66.4,90.0,top
R64,-168.97,76.77,180.0,top
R66,-161.18,86.4,0.0,top
R68,-161.18,85.4,180.0,top
R69,-168.97,77.76,0.0,top
R7,-109.390001,40.473026,90.0,top
R72,-161.18,84.4,0.0,top
R76,-112.74,60.82,0.0,top
R77,-116.15,60.97,180.0,top
R78,-136.710001,62.033026,90.0,top
R79,-138.200001,62.183026,90.0,top
R8,-107.9,40.48,90.0,top
R81,-111.45,97.64,180.0,top
R84,-111.35,95.26,180.0,top
R85,-114.19,92.65,90.0,top
R86,-103.91,92.0,90.0,top
R87,-112.43,80.99,180.0,top
R88,-112.42,82.58,0.0,top
R9,-106.9,40.48,90.0,top
SW1,-171.8,69.2,90.0,top
SW2,-171.81,54.44,90.0,top
TP16,-87.62,81.2,0.0,top
U1,-103.94,36.62,270.0,top
U15,-90.6,35.125,270.0,top
U16,-112.4,69.4,270.0,top
U2,-106.99,36.6325,270.0,top
U78,-145.77,38.21,90.0,top
U79,-107.44,94.82,0.0,top
U80,-163.56,99.95,180.0,top
U86,-154.64,97.52,180.0,top
U90,-163.56,95.75,180.0,top
